JANUARY,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE UNDER RESTING,SLEEP TIME
Monday,11/15/2021,87,7:19:00,21.00%,22.00%,96.00%,10:45pm - 6:57am
Tuesday,11/16/2021,80,7:22:00,17.00%,11.00%,55.00%,11-38pm - 8:23am
Wednesday,11/17/2021,78,6:57:00,15.00%,14.00%,67.00%,11:50pm - 7:50am
Thursday,11/18/2021,87,7:14:00,24.00%,19.00%,98.00%,10:42pm - 6:51am
Friday,11/19/2021,83,6:50:00,20.00%,20.00%,75.00%,10:49pm - 6:37am
Saturday,11/20/2021,86,7:56:00,24.00%,17.00%,63.00%,10:53pm - 7:59am
Sunday,11/21/2021,88,7:33:00,19.00%,16.00%,95.00%,11:13pm - 8:07am
Monday,11/22/2021,87,8:21:00,14.00%,19.00%,94.00%,10:12pm - 7:32am
Tuesday,11/23/2021,86,8:15:00,20.00%,14.00%,72.00%,11:53pm - 9:15am
Wednesday,11/24/2021,77,6:26:00,18.00%,13.00%,55.00%,11:36pm - 7:13am
Thursday,11/25/2021,81,6:51:00,20.00%,17.00%,51.00%,12:50am - 8:27am
Friday,11/26/2021,87,8:45:00,22.00%,19.00%,56.00%,12:53am - 10:35am
Saturday,11/27/2021,86,7:53:00,24.00%,19.00%,66.00%,12:51am - 10:04am
Sunday,11/28/2021,83,6:13:00,22.00%,22.00%,81.00%,12:02am - 6:59am
Monday,11/29/2021,89,7:44:00,18.00%,21.00%,81.00%,11:00pm - 7:38am
Tuesday,11/30/2021,78,6:48:00,12.00%,13.00%,74.00%,11:16pm - 7:06am
DECEMBER,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
,,,,,,,
Wednesday,12/1/2021,91,7:33:00,23.00%,19.00%,98.00%,10:56pm - 7:20am
Thursday,12/2/2021,81,7:17:00,16.00%,13.00%,94.00%,10:45pm - 6:58am
Friday,12/3/2021,80,7:17:00,15.00%,17.00%,78.00%,10:51pm - 7:02am
Saturday,12/4/2021,85,8:23:00,20.00%,15.00%,58.00%,9:53pm - 7:17am
Sunday,12/5/2021,82,7:19:00,20.00%,12.00%,79.00%,11:54pm - 8:16am
Monday,12/6/2021,80,7:18:00,18.00%,16.00%,56.00%,11:28pm - 7:47am
Tuesday,12/7/2021,89,8:02:00,21.00%,11.00%,94.00%,10:09pm - 7:18am
Wednesday,12/8/2021,85,6:47:00,22.00%,16.00%,94.00%,11:40pm - 7:33
Thursday,12/9/2021,85,7:32:00,12.00%,14.00%,96.00%,10:47pm - 7:27am
Friday,12/10/2021,87,7:45:00,20.00%,13.00%,75.00%,10:27pm - 7:07am
Saturday,12/11/2021,78,7:57:00,13.00%,10.00%,45.00%,11:44pm - 9:05am
Sunday,12/12/2021,85,6:47:00,24.00%,17.00%,74.00%,12:21am - 8:18am
Monday,12/13/2021,87,8:33:00,21.00%,15.00%,83.00%,10:13pm - 7:47am
Tuesday,12/14/2021,83,7:33:00,12.00%,20.00%,76.00%,11:19pm - 7:54am
Wednesday,12/15/2021,79,7:08:00,26.00%,19.00%,31.00%,11:00pm - 6:58am
Thursday,12/16/2021,74,6:34:00,16.00%,23.00%,0.00%,12:38am - 8:18am
Friday,12/17/2021,84,7:18:00,21.00%,16.00%,79.00%,11:54pm - 8:10am
Saturday,12/18/2021,87,8:14:00,16.00%,18.00%,99.00%,10:44pm - 8:16am
Sunday,12/19/2021,83,7:08:00,29.00%,17.00%,65.00%,11:57pm - 7:57am
Monday,12/20/2021,85,7:06:00,23.00%,14.00%,98.00%,12:42am - 8:51am
Tuesday,12/21/2021,91,8:26:00,21.00%,19.00%,96.00%,10:25pm - 8:01am
Wednesday,12/22/2021,88,7:29:00,22.00%,16.00%,90.00%,11:01pm - 7:42am
Thursday,12/23/2021,89,8:37:00,20.00%,19.00%,95.00%,11:24pm - 9:18am
Friday,12/24/2021,78,9:03:00,12.00%,18.00%,52.00%,11:20pm - 9:56am
Saturday,12/25/2021,75,6:39:00,16.00%,14.00%,50.00%,01:19am - 9:06am
Sunday,12/26/2021,91,7:51:00,21.00%,27.00%,83.00%,12:14am - 9:08am
Monday,12/27/2021,83,7:06:00,20.00%,16.00%,90.00%,12:00am - 8:09am
Tuesday,12/28/2021,85,6:57:00,20.00%,18.00%,99.00%,11:16pm - 7:02
Wednesday,12/29/2021,91,7:23:00,26.00%,16.00%,98.00%,10:51pm - 7:09am
Thursday,12/30/2021,87,7:48:00,22.00%,21.00%,60.00%,11:34pm - 8:18am
Friday,12/31/2021,89,8:09:00,23.00%,19.00%,70.00%,10:28pm - 7:29am
