JANUARY,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE UNDER RESTING,SLEEP TIME
Friday,3/4/2022,84,8:29:00,18.00%,13.00%,99.00%,10:42pm - 8:44am
Saturday,3/5/2022,87,8:30:00,20.00%,19.00%,72.00%,11:33pm - 9:10am
Sunday,3/6/2022,n/a,n/a,n/a,n/a,n/a,n/a
Monday,3/7/2022,86,7:29:00,20.00%,16.00%,69.00%,11:45pm - 8:29am
Tuesday,3/8/2022,71,5:42:00,13.00%,0.00%,59.00%,1:40am - 8:14am
Wednesday,3/9/2022,82,8:22:00,15.00%,16.00%,43.00%,12:22am - 9:47am
Thursday,3/10/2022,87,7:59:00,17.00%,19.00%,92.00%,11:01pm - 7:59am
Friday,3/11/2022,84,8:13:00,12.00%,17.00%,84.00%,10:50pm - 8:13am
Saturday,3/12/2022,84,7:37:00,18.00%,20.00%,36.00%,12:42am - 9:16am
Sunday,3/13/2022,87,7:28:00,23.00%,21.00%,54.00%,11:47pm - 9:11am
Monday,3/14/2022,82,7:14:00,17.00%,17.00%,76.00%,10:47pm - 7:16am
Tuesday,3/15/2022,89,7:33:00,20.00%,25.00%,87.00%,10:46pm - 7:22am
Wednesday,3/16/2022,89,7:47:00,25.00%,16.00%,89.00%,10:26pm - 7:10am
Thursday,3/17/2022,87,8:17:00,22.00%,14.00%,93.00%,10:32pm - 8:13am
Friday,3/18/2022,79,7:12:00,12.00%,16.00%,80.00%,10:47pm - 6:58am
Saturday,3/19/2022,n/a,n/a,n/a,n/a,n/a,n/a
Sunday,3/20/2022,87,8:16:00,27.00%,18.00%,67.00%,11:57pm - 9:14am
Monday,3/21/2022,84,8:09:00,15.00%,15.00%,91.00%,10:36pm - 8:13am
Tuesday,3/22/2022,86,7:07:00,25.00%,17.00%,97.00%,10:58pm - 7:00am
Wednesday,3/23/2022,85,7:25:00,20.00%,21.00%,43.00%,10:27pm - 6:46am
Thursday,3/24/2022,25,7:52:00,21.00%,18.00%,52.00%,11:42pm - 8:32am
Friday,3/25/2022,81,8:10:00,18.00%,22.00%,10.00%,11:25pm - 8:42am
Saturday,3/26/2022,87,8:54:00,21.00%,11.00%,98.00%,10:52pm - 9:12am
Sunday,3/27/2022,86,7:03:00,20.00%,15.00%,95.00%,12:04am - 8:02am
Monday,3/28/2022,80,6:33:00,14.00%,22.00%,95.00%,10:12pm - 5:51am
Tuesday,3/29/2022,86,6:59:00,22.00%,23.00%,93.00%,10:00pm - 5:51am
Wednesday,3/30/2022,87,6:34:00,20.00%,20.00%,96.00%,10:08pm - 5:29am
Thursday,3/31/2022,91,7:38:00,30.00%,21.00%,92.00%,9:41pm - 5:56am
APRIL,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
,,,,,,,
Friday,4/1/2022,90,7:22:00,18.00%,21.00%,98.00%,9:49pm - 6:01am
Saturday,4/2/2022,89,8:40:00,21.00%,21.00%,73.00%,9:50pm - 7:26am
Sunday,4/3/2022,81,8:52:00,21.00%,17.00%,26.00%,11:29pm - 9:54am
Monday,4/4/2022,83,6:50:00,17.00%,19.00%,99.00%,10:12pm - 5:49am
Tuesday,4/5/2022,84,6:57:00,18.00%,21.00%,97.00%,9:45pm - 5:43am
Wednesday,4/6/2022,83,7:27:00,17.00%,19.00%,77.00%,9:22pm - 6:14am
Thursday,4/7/2022,87,7:57:00,22.00%,14.00%,68.00%,10:05pm - 6:55am
Friday,4/8/2022,83,7:27:00,19.00%,18.00%,71.00%,9:42pm - 6:36am
Saturday,4/9/2022,87,8:12:00,19.00%,15.00%,71.00%,11:27pm - 8:36am
Sunday,4/10/2022,83,6:57:00,15.00%,18.00%,96.00%,12:53am - 8:39am
Monday,4/11/2022,88,7:39:00,17.00%,19.00%,98.00%,9:35pm - 6:02am
Tuesday,4/12/2022,86,8:00:00,20.00%,19.00%,73.00%,9:52pm - 7:10am
Wednesday,4/13/2022,82,7:48:00,11.00%,13.00%,73.00%,10:51pm - 8:02am
Thursday,4/14/2022,83,7:19:00,19.00%,23.00%,77.00%,9:35pm - 5:58am
Friday,4/15/2022,82,8:04:00,17.00%,19.00%,57.00%,11:37pm - 8:52am
Saturday,4/16/2022,90,9:39:00,21.00%,17.00%,96.00%,9:43pm - 8:35am
Sunday,4/17/2022,91,7:32:00,24.00%,14.00%,99.00%,10:50pm - 7:21am
Monday,4/18/2022,89,7:59:00,17.00%,18.00%,95.00%,10:14pm - 7:04am
Tuesday,4/19/2022,82,7:59:00,15.00%,17.00%,45.00%,10:04pm - 7:08am
Wednesday,4/20/2022,75,6:54:00,20.00%,15.00%,9.00%,12:37am - 8:42am
Thursday,4/21/2022,93,7:59:00,22.00%,24.00%,99.00%,10:36pm - 7:37am
Friday,4/22/2022,87,7:44:00,19.00%,8.00%,88.00%,9:00pm - 5:54am
Saturday,4/23/2022,79,7:55:00,8.00%,12.00%,57.00%,10:10pm - 7:22am
Sunday,4/24/2022,81,8:17:00,13.00%,15.00%,64.00%,12:10am - 9:46am
Monday,4/25/2022,84,7:39:00,16.00%,20.00%,70.00%,9:52pm - 6:55am
Tuesday,4/26/2022,85,7:18:00,22.00%,14.00%,100.00%,9:32pm - 6:00am
Wednesday,4/27/2022,90,7:34:00,24.00%,19.00%,98.00%,9:19pm - 5:49am
Thursday,4/28/2022,87,6:54:00,21.00%,22.00%,90.00%,10:02pm - 5:46am
Friday,4/29/2022,86,7:45:00,19.00%,17.00%,95.00%,10:15pm - 7:24am
Saturday,4/30/2022,89,7:11:00,22.00%,18.00%,75.00%,11:08pm - 7:04am
NOVEMBER,DATE,SLEEP SCORE,HOURS OF SLEEP,REM SLEEP,DEEP SLEEP,HEART RATE BELOW RESTING,SLEEP TIME
,,,,,,,
Monday,11/1/2021,88,8:06:00,20.00%,13.00%,84.00%,10:41pm - 7:54am
Tuesday,11/2/2021,83,7:57:00,12.00%,18.00%,90.00%,10:40pm - 7:55am
Wednesday,11/3/2021,81,7:06:00,13.00%,22.00%,93.00%,11:03pm - 7:16am
Thursday,11/4/2021,86,7:04:00,19.00%,17.00%,97.00%,10:55pm - 6:56am
Friday,11/5/2021,81,9:24:00,17.00%,15.00%,66.00%,10:14pm - 9:01am
Saturday,11/6/2021,77,8:19:00,14.00%,13.00%,21.00%,11:21 - 8:45am
Sunday,11/7/2021,86,7:37:00,20.00%,15.00%,80.00%,11:18pm - 6:57am
Monday,11/8/2021,81,6:46,16%,17.00%,89.00%,11:50pm - 7:40am
Tuesday,11/9/2021,88,7:10:00,24.00%,19.00%,98.00%,11:14pm - 7:16am
Wednesday,11/10/2021,84,7:16:00,21.00%,17.00%,96.00%,11:16pm - 7:29am
Thursday,11/11/2021,85,6:52:00,19.00%,21.00%,97.00%,10:47pm - 6:32am
Friday,11/12/2021,85,7:28:00,18.00%,16.00%,74.00%,10:21pm - 6:47am
Saturday,11/13/2021,74,6:06,16.00%,21.00%,43.00%,11:34pm - 6:51am
Sunday,11/14/2021,88,6:59:00,23.00%,22.00%,91.00%,10:54pm - 6:48am
