sex,time,terms,Eat well Drink well,Sometimes eat Sometimes drink,Hardly eat or drink,Not eating or drinking at all,Other
woman,9:00 p.m.-9:29 p.m.,drink,355,540,455,187,21
woman,9:30 p.m. to 9:59 p.m.,drink,597,821,611,212,25
woman,10:00 p.m. to 10:29 p.m.,drink,871,1026,682,311,38
woman,10:30 p.m. to 10:59 p.m.,drink,577,645,422,156,15
woman,11:00 p.m.-11:29 p.m.,drink,326,378,225,82,13
woman,11:30 p.m. to 11:59 p.m.,drink,141,123,79,36,6
woman,After midnight,drink,62,52,38,26,2
woman,No set bedtime.,drink,79,83,49,15,4
woman,Other,drink,10,13,6,4,78
man,Before 9:00 p.m.,drink,149,147,97,53,3
man,9:00 p.m.-9:29 p.m.,drink,734,769,406,130,30
man,9:30 p.m. to 9:59 p.m.,drink,988,996,523,197,27
man,10:00 p.m. to 10:29 p.m.,drink,1203,1113,502,183,38
man,10:30 p.m. to 10:59 p.m.,drink,708,565,292,97,17
man,11:00 p.m.-11:29 p.m.,drink,388,274,101,55,10
man,11:30 p.m. to 11:59 p.m.,drink,132,83,36,16,1
man,After midnight,drink,51,26,11,4,1
man,No set bedtime.,drink,67,47,18,12,2
man,Other,drink,11,7,4,3,91
woman,Before 9:00 p.m.,fruit,63,140,83,73,4
woman,9:00 p.m.-9:29 p.m.,fruit,214,666,408,249,21
woman,9:30 p.m. to 9:59 p.m.,fruit,348,1053,558,274,33
woman,10:00 p.m. to 10:29 p.m.,fruit,460,1288,733,402,45
woman,10:30 p.m. to 10:59 p.m.,fruit,284,793,483,232,23
woman,11:00 p.m.-11:29 p.m.,fruit,147,456,261,143,17
woman,11:30 p.m. to 11:59 p.m.,fruit,60,172,99,49,5
woman,After midnight,fruit,35,66,48,29,2
woman,No set bedtime.,fruit,22,107,62,37,2
woman,Other,fruit,9,16,6,2,78
man,Before 9:00 p.m.,fruit,59,185,124,80,1
man,9:00 p.m.-9:29 p.m.,fruit,273,869,585,311,31
man,9:30 p.m. to 9:59 p.m.,fruit,362,1174,787,385,23
man,10:00 p.m. to 10:29 p.m.,fruit,369,1382,828,421,39
man,10:30 p.m. to 10:59 p.m.,fruit,211,759,455,237,17
man,11:00 p.m.-11:29 p.m.,fruit,108,353,242,119,6
man,11:30 p.m. to 11:59 p.m.,fruit,39,126,66,33,4
man,After midnight,fruit,9,39,27,16,2
man,No set bedtime.,fruit,19,48,53,20,6
man,Other,fruit,4,8,7,6,91
woman,Before 9:00 p.m.,"Rice, bread, noodles",61,66,60,173,3
woman,9:00 p.m.-9:29 p.m.,"Rice, bread, noodles",211,331,387,606,23
woman,9:30 p.m. to 9:59 p.m.,"Rice, bread, noodles",358,540,565,777,26
woman,10:00 p.m. to 10:29 p.m.,"Rice, bread, noodles",486,771,699,933,39
woman,10:30 p.m. to 10:59 p.m.,"Rice, bread, noodles",329,520,423,520,23
woman,11:00 p.m.-11:29 p.m.,"Rice, bread, noodles",232,297,227,258,10
woman,11:30 p.m. to 11:59 p.m.,"Rice, bread, noodles",104,103,80,94,4
woman,After midnight,"Rice, bread, noodles",38,51,37,51,3
woman,No set bedtime.,"Rice, bread, noodles",55,65,46,62,2
woman,Other,"Rice, bread, noodles",12,8,5,9,77
man,Before 9:00 p.m.,"Rice, bread, noodles",77,112,85,174,1
man,9:00 p.m.-9:29 p.m.,"Rice, bread, noodles",387,542,504,607,29
man,9:30 p.m. to 9:59 p.m.,"Rice, bread, noodles",486,832,667,724,22
man,10:00 p.m. to 10:29 p.m.,"Rice, bread, noodles",631,970,676,728,34
man,10:30 p.m. to 10:59 p.m.,"Rice, bread, noodles",372,533,399,361,14
man,11:00 p.m.-11:29 p.m.,"Rice, bread, noodles",246,268,161,145,8
man,11:30 p.m. to 11:59 p.m.,"Rice, bread, noodles",82,86,44,54,2
man,After midnight,"Rice, bread, noodles",28,37,12,15,1
man,No set bedtime.,"Rice, bread, noodles",35,48,27,30,6
man,Other,"Rice, bread, noodles",7,7,8,3,91
man,Before 9:00 p.m.,sweets,174,187,54,33,1
man,9:00 p.m.-9:29 p.m.,sweets,849,903,233,65,19
man,9:30 p.m. to 9:59 p.m.,sweets,1191,1180,260,83,17
man,10:00 p.m. to 10:29 p.m.,sweets,1422,1240,280,72,25
man,10:30 p.m. to 10:59 p.m.,sweets,773,698,159,37,12
man,11:00 p.m.-11:29 p.m.,sweets,390,332,77,25,4
man,11:30 p.m. to 11:59 p.m.,sweets,144,80,32,10,2
man,After midnight,sweets,45,39,5,2,2
man,No set bedtime.,sweets,50,71,15,6,4
man,Other,sweets,15,8,3,0,90
woman,Before 9:00 p.m.,sweets,171,143,34,14,1
woman,9:00 p.m.-9:29 p.m.,sweets,762,597,133,52,14
woman,9:30 p.m. to 9:59 p.m.,sweets,1159,882,158,52,15
woman,10:00 p.m. to 10:29 p.m.,sweets,1560,1058,223,65,22
woman,10:30 p.m. to 10:59 p.m.,sweets,990,656,123,33,13
woman,11:00 p.m.-11:29 p.m.,sweets,540,382,67,26,9
woman,11:30 p.m. to 11:59 p.m.,sweets,195,153,28,7,2
woman,After midnight,sweets,88,65,19,5,3
woman,No set bedtime.,sweets,122,88,14,5,1
woman,Other,sweets,22,11,1,1,76
man,Before 6:00 a.m.,sweets,418,453,133,37,11
man,6:00 a.m.06:29 a.m.,sweets,1463,1475,332,118,22
man,6:30 a.m.06:59 a.m.,sweets,1859,1673,405,115,33
man,7:00 a.m.07:29 a.m.,sweets,1155,990,213,51,16
man,7:30 a.m.07:59 a.m.,sweets,123,104,19,8,4
man,8:00 a.m.08:29 a.m.,sweets,12,8,6,2,0
man,8:30 a.m.08:59 a.m.,sweets,1,5,1,0,0
man,After 9:00 a.m.,sweets,3,9,0,0,0
man,No set getuptime,sweets,16,18,7,2,0
man,Other,sweets,3,3,2,0,90
woman,Before 6:00 a.m.,sweets,414,341,88,28,5
woman,6:00 a.m.06:29 a.m.,sweets,1639,1288,267,82,21
woman,6:30 a.m.06:59 a.m.,sweets,2223,1501,267,95,31
woman,7:00 a.m.07:29 a.m.,sweets,1177,793,150,45,18
woman,7:30 a.m.07:59 a.m.,sweets,104,66,15,7,4
woman,8:00 a.m.08:29 a.m.,sweets,12,5,2,1,1
woman,8:30 a.m.08:59 a.m.,sweets,6,4,2,0,0
woman,After 9:00 a.m.,sweets,4,8,2,0,0
woman,No set getuptime,sweets,24,22,5,1,0
woman,Other,sweets,6,7,2,1,76
man,Before 6:00 a.m.,cold sweets,244,547,184,60,17
man,6:00 a.m.06:29 a.m.,cold sweets,844,1772,573,185,36
man,6:30 a.m.06:59 a.m.,cold sweets,1068,2114,668,180,55
man,7:00 a.m.07:29 a.m.,cold sweets,715,1188,390,109,23
man,7:30 a.m.07:59 a.m.,cold sweets,92,113,36,14,3
man,8:00 a.m.08:29 a.m.,cold sweets,11,11,4,2,0
man,8:30 a.m.08:59 a.m.,cold sweets,0,4,3,0,0
man,After 9:00 a.m.,cold sweets,2,8,1,1,0
man,No set getuptime,cold sweets,14,15,10,3,1
man,Other,cold sweets,2,3,2,1,90
woman,Before 6:00 a.m.,cold sweets,211,421,167,64,13
woman,6:00 a.m.06:29 a.m.,cold sweets,826,1739,533,160,39
woman,6:30 a.m.06:59 a.m.,cold sweets,1061,2176,648,187,45
woman,7:00 a.m.07:29 a.m.,cold sweets,617,1138,311,93,24
woman,7:30 a.m.07:59 a.m.,cold sweets,60,90,32,9,5
woman,8:00 a.m.08:29 a.m.,cold sweets,3,14,2,1,1
woman,8:30 a.m.08:59 a.m.,cold sweets,2,8,2,0,0
woman,After 9:00 a.m.,cold sweets,8,2,2,2,0
woman,No set getuptime,cold sweets,18,24,8,1,1
woman,Other,cold sweets,4,9,1,1,77
man,Before 6:00 a.m.,drink,390,341,220,84,17
man,6:00 a.m.06:29 a.m.,drink,1258,1267,616,234,35
man,6:30 a.m.06:59 a.m.,drink,1619,1464,709,243,50
man,7:00 a.m.07:29 a.m.,drink,1000,830,408,164,23
man,7:30 a.m.07:59 a.m.,drink,124,91,24,15,4
man,8:00 a.m.08:29 a.m.,drink,11,11,2,4,0
man,8:30 a.m.08:59 a.m.,drink,1,3,3,0,0
man,After 9:00 a.m.,drink,3,8,1,0,0
man,No set getuptime,drink,22,11,4,5,1
man,Other,drink,3,1,3,1,90
woman,Before 6:00 a.m.,drink,254,296,208,108,10
woman,6:00 a.m.06:29 a.m.,drink,911,1158,853,336,39
woman,6:30 a.m.06:59 a.m.,drink,1190,1466,1004,411,46
woman,7:00 a.m.07:29 a.m.,drink,654,783,525,192,29
woman,7:30 a.m.07:59 a.m.,drink,67,63,43,20,3
woman,8:00 a.m.08:29 a.m.,drink,4,11,3,2,1
woman,8:30 a.m.08:59 a.m.,drink,3,4,3,2,0
woman,After 9:00 a.m.,drink,4,6,1,3,0
woman,No set getuptime,drink,19,14,14,4,1
woman,Other,drink,3,7,3,2,77
man,Before 6:00 a.m.,Carbonated drinks,121,328,283,304,16
man,6:00 a.m.06:29 a.m.,Carbonated drinks,443,1212,842,870,43
man,6:30 a.m.06:59 a.m.,Carbonated drinks,633,1497,950,952,53
man,7:00 a.m.07:29 a.m.,Carbonated drinks,423,902,514,566,20
man,7:30 a.m.07:59 a.m.,Carbonated drinks,56,92,47,59,4
man,8:00 a.m.08:29 a.m.,Carbonated drinks,6,14,2,6,0
man,8:30 a.m.08:59 a.m.,Carbonated drinks,0,4,2,1,0
man,After 9:00 a.m.,Carbonated drinks,4,4,1,3,0
man,No set getuptime,Carbonated drinks,12,10,9,11,1
man,Other,Carbonated drinks,3,2,0,3,90
woman,Before 6:00 a.m.,Carbonated drinks,79,249,234,301,13
woman,6:00 a.m.06:29 a.m.,Carbonated drinks,326,1031,919,981,40
woman,6:30 a.m.06:59 a.m.,Carbonated drinks,410,1388,1061,1203,55
woman,7:00 a.m.07:29 a.m.,Carbonated drinks,266,718,544,625,30
woman,7:30 a.m.07:59 a.m.,Carbonated drinks,29,56,51,54,6
woman,8:00 a.m.08:29 a.m.,Carbonated drinks,2,5,8,4,2
woman,8:30 a.m.08:59 a.m.,Carbonated drinks,1,6,3,2,0
woman,After 9:00 a.m.,Carbonated drinks,4,4,3,3,0
woman,No set getuptime,Carbonated drinks,8,15,13,16,0
woman,Other,Carbonated drinks,2,7,1,4,78
man,Before 6:00 a.m.,fruit,167,416,282,171,16
man,6:00 a.m.06:29 a.m.,fruit,427,1500,951,498,34
man,6:30 a.m.06:59 a.m.,fruit,508,1801,1172,555,49
man,7:00 a.m.07:29 a.m.,fruit,303,1065,674,358,25
man,7:30 a.m.07:59 a.m.,fruit,34,121,65,33,5
man,8:00 a.m.08:29 a.m.,fruit,2,15,8,3,0
man,8:30 a.m.08:59 a.m.,fruit,0,2,4,1,0
man,After 9:00 a.m.,fruit,2,4,5,1,0
man,No set getuptime,fruit,8,18,11,5,1
man,Other,fruit,2,1,2,3,90
woman,Before 6:00 a.m.,fruit,145,360,216,144,11
woman,6:00 a.m.06:29 a.m.,fruit,518,1479,822,429,49
woman,6:30 a.m.06:59 a.m.,fruit,593,1826,1060,586,52
woman,7:00 a.m.07:29 a.m.,fruit,347,962,560,281,33
woman,7:30 a.m.07:59 a.m.,fruit,25,87,47,31,6
woman,8:00 a.m.08:29 a.m.,fruit,3,7,5,5,1
woman,8:30 a.m.08:59 a.m.,fruit,1,5,5,1,0
woman,After 9:00 a.m.,fruit,1,6,5,2,0
woman,No set getuptime,fruit,6,16,19,10,1
woman,Other,fruit,3,9,2,1,77
man,Before 6:00 a.m.,"Rice, bread, noodles",213,293,239,295,12
man,6:00 a.m.06:29 a.m.,"Rice, bread, noodles",640,1026,764,953,27
man,6:30 a.m.06:59 a.m.,"Rice, bread, noodles",808,1264,982,983,48
man,7:00 a.m.07:29 a.m.,"Rice, bread, noodles",588,741,534,537,25
man,7:30 a.m.07:59 a.m.,"Rice, bread, noodles",66,86,47,54,5
man,8:00 a.m.08:29 a.m.,"Rice, bread, noodles",10,8,7,3,0
man,8:30 a.m.08:59 a.m.,"Rice, bread, noodles",1,2,2,2,0
man,After 9:00 a.m.,"Rice, bread, noodles",6,4,1,1,0
man,No set getuptime,"Rice, bread, noodles",17,9,5,11,1
man,Other,"Rice, bread, noodles",2,2,2,2,90
woman,Before 6:00 a.m.,"Rice, bread, noodles",165,200,199,301,11
woman,6:00 a.m.06:29 a.m.,"Rice, bread, noodles",536,787,779,1153,42
woman,6:30 a.m.06:59 a.m.,"Rice, bread, noodles",682,1075,994,1321,45
woman,7:00 a.m.07:29 a.m.,"Rice, bread, noodles",426,600,491,638,28
woman,7:30 a.m.07:59 a.m.,"Rice, bread, noodles",48,57,44,42,5
woman,8:00 a.m.08:29 a.m.,"Rice, bread, noodles",4,8,3,5,1
woman,8:30 a.m.08:59 a.m.,"Rice, bread, noodles",5,3,1,3,0
woman,After 9:00 a.m.,"Rice, bread, noodles",3,5,1,5,0
woman,No set getuptime,"Rice, bread, noodles",13,13,13,12,1
woman,Other,"Rice, bread, noodles",4,4,4,3,77
